,DATE,TEMP,TEMP_Count,DEWP,DEWP_Count,SLP,SLP_Count,STP,STP_Count,VISIB,VISIB_Count,WDSP,WDSP_Count,MXSPD,GUST,MAX,MIN,PRCP,SNDP,MAX_Flag,MIN_Flag,PRCP_Flag,TEMP_is_missing,TEMP_Count_is_missing,DEWP_is_missing,DEWP_Count_is_missing,SLP_is_missing,SLP_Count_is_missing,STP_is_missing,STP_Count_is_missing,VISIB_is_missing,VISIB_Count_is_missing,WDSP_is_missing,WDSP_Count_is_missing,MXSPD_is_missing,GUST_is_missing,MAX_is_missing,MIN_is_missing,PRCP_is_missing,SNDP_is_missing,Is_Fog,Is_Rain or Drizzle,Is_Snow or Ice Pellets,Is_Hail,Is_Thunder,Is_Tornado or Funnel Cloud
0,19361231,16.0,4.0,9999.9,0.0,1022.9,4.0,9999.9,0.0,3.0,4.0,9.0,4.0,13.0,999.9,27.0,5.0,0.0,999.9,*,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,19370101,33.5,4.0,9999.9,0.0,1020.9,4.0,9999.9,0.0,2.5,4.0,13.0,4.0,13.0,999.9,34.0,18.0,99.99,999.9,*,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,19370102,28.8,4.0,9999.9,0.0,1020.4,4.0,9999.9,0.0,4.0,4.0,999.9,0.0,999.9,999.9,32.0,27.0,0.0,999.9,_,*,I,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
3,19370103,29.0,4.0,9999.9,0.0,1013.2,4.0,9999.9,0.0,2.5,4.0,17.0,4.0,23.9,999.9,30.0,27.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
4,19370104,30.0,4.0,9999.9,0.0,1013.2,4.0,9999.9,0.0,2.2,4.0,13.3,4.0,18.1,999.9,32.0,28.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5,19370105,28.0,4.0,9999.9,0.0,1020.6,4.0,9999.9,0.0,3.4,4.0,11.0,4.0,13.0,999.9,32.0,23.0,0.0,999.9,_,*,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,19370106,26.5,4.0,9999.9,0.0,1016.5,4.0,9999.9,0.0,1.5,4.0,13.7,4.0,23.9,999.9,28.0,21.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
7,19370107,29.5,4.0,9999.9,0.0,1010.5,4.0,9999.9,0.0,0.8,4.0,11.3,4.0,18.1,999.9,30.0,27.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
8,19370108,32.5,4.0,9999.9,0.0,1006.2,4.0,9999.9,0.0,0.5,4.0,13.5,4.0,18.1,999.9,34.0,30.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
9,19370109,31.7,4.0,9999.9,0.0,1024.1,4.0,9999.9,0.0,1.0,4.0,3.5,4.0,5.1,999.9,34.0,27.0,99.99,999.9,*,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
10,19370110,19.0,4.0,9999.9,0.0,1035.1,4.0,9999.9,0.0,1.6,4.0,10.0,4.0,13.0,999.9,23.0,12.0,99.99,999.9,*,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
11,19370111,8.8,4.0,9999.9,0.0,1040.3,4.0,9999.9,0.0,0.9,4.0,6.0,4.0,8.9,999.9,14.0,3.0,0.0,999.9,_,*,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12,19370112,2.3,4.0,9999.9,0.0,1047.3,4.0,9999.9,0.0,0.8,4.0,6.0,4.0,8.9,999.9,5.0,-2.0,0.0,999.9,_,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
13,19370113,6.8,4.0,9999.9,0.0,9999.9,0.0,9999.9,0.0,1.2,4.0,3.5,4.0,5.1,999.9,12.0,1.0,99.99,999.9,_,_,_,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
14,19370114,9.5,4.0,9999.9,0.0,1041.5,4.0,9999.9,0.0,0.9,4.0,5.2,4.0,8.9,999.9,16.0,1.0,99.99,999.9,*,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
15,19370115,18.5,4.0,9999.9,0.0,1044.2,4.0,9999.9,0.0,1.4,4.0,5.1,4.0,5.1,999.9,21.0,14.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
16,19370116,17.5,4.0,9999.9,0.0,1041.3,4.0,9999.9,0.0,2.2,4.0,6.0,4.0,8.9,999.9,18.0,16.0,99.99,999.9,*,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
17,19370117,11.0,4.0,9999.9,0.0,1043.6,4.0,9999.9,0.0,0.6,4.0,2.5,4.0,5.1,999.9,19.0,-2.0,99.99,999.9,_,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
18,19370118,7.7,4.0,9999.9,0.0,1047.1,4.0,9999.9,0.0,1.1,4.0,7.2,4.0,13.0,999.9,12.0,-2.0,99.99,999.9,*,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
19,19370119,10.8,4.0,9999.9,0.0,1042.2,4.0,9999.9,0.0,1.9,4.0,8.0,4.0,8.9,999.9,14.0,7.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
20,19370120,3.7,4.0,9999.9,0.0,1035.2,4.0,9999.9,0.0,0.5,4.0,7.0,4.0,8.9,999.9,7.0,0.0,99.99,999.9,_,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
21,19370121,0.0,4.0,9999.9,0.0,1038.3,4.0,9999.9,0.0,0.5,4.0,3.0,4.0,5.1,999.9,10.0,-4.0,0.0,999.9,*,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
22,19370122,-2.0,4.0,9999.9,0.0,1044.9,4.0,9999.9,0.0,0.7,4.0,1.9,4.0,1.9,999.9,1.0,-11.0,0.0,999.9,_,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
23,19370123,-4.2,4.0,9999.9,0.0,9999.9,0.0,9999.9,0.0,0.6,4.0,2.7,4.0,5.1,999.9,1.0,-8.0,0.0,999.9,_,_,I,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
24,19370124,-5.0,4.0,9999.9,0.0,9999.9,0.0,9999.9,0.0,0.8,4.0,4.5,4.0,8.9,999.9,3.0,-9.0,0.0,999.9,_,_,I,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,19370125,-8.5,4.0,9999.9,0.0,9999.9,0.0,9999.9,0.0,0.8,4.0,2.7,4.0,5.1,999.9,0.0,-17.0,0.0,999.9,_,*,I,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,19370126,3.2,4.0,9999.9,0.0,1032.8,4.0,9999.9,0.0,2.2,4.0,7.0,4.0,8.9,999.9,10.0,-17.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
27,19370127,10.3,4.0,9999.9,0.0,1021.6,4.0,9999.9,0.0,2.2,4.0,5.2,4.0,8.9,999.9,12.0,7.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
28,19370128,1.2,4.0,9999.9,0.0,1020.9,4.0,9999.9,0.0,2.5,4.0,5.2,4.0,8.9,999.9,7.0,-9.0,99.99,999.9,*,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
29,19370129,-12.7,4.0,9999.9,0.0,1025.5,4.0,9999.9,0.0,1.4,4.0,5.2,4.0,8.9,999.9,-6.0,-17.0,0.0,999.9,_,*,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
30,19370130,-8.2,4.0,9999.9,0.0,1024.8,4.0,9999.9,0.0,1.9,4.0,6.2,4.0,8.9,999.9,-2.0,-18.0,0.0,999.9,_,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
31,19370131,10.3,4.0,9999.9,0.0,1020.2,4.0,9999.9,0.0,2.2,4.0,6.0,4.0,8.9,999.9,18.0,-9.0,99.99,999.9,*,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
32,19370201,15.8,4.0,9999.9,0.0,1026.5,4.0,9999.9,0.0,4.3,4.0,7.0,4.0,8.9,999.9,21.0,9.0,99.99,999.9,_,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
33,19370202,6.3,4.0,9999.9,0.0,1030.7,4.0,9999.9,0.0,2.5,4.0,6.0,4.0,8.9,999.9,14.0,3.0,0.0,999.9,_,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
34,19370203,11.7,4.0,9999.9,0.0,1018.2,4.0,9999.9,0.0,2.5,4.0,14.3,4.0,18.1,999.9,14.0,7.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
35,19370204,19.8,4.0,9999.9,0.0,1007.4,4.0,9999.9,0.0,1.2,4.0,5.4,4.0,8.9,999.9,23.0,12.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
36,19370205,24.0,4.0,9999.9,0.0,1004.1,4.0,9999.9,0.0,0.9,4.0,6.5,4.0,13.0,999.9,25.0,21.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
37,19370206,34.0,4.0,9999.9,0.0,997.5,4.0,9999.9,0.0,1.2,4.0,8.9,4.0,8.9,999.9,36.0,23.0,0.0,999.9,*,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
38,19370207,34.0,4.0,9999.9,0.0,990.4,4.0,9999.9,0.0,3.4,4.0,14.3,4.0,18.1,999.9,36.0,9999.9,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
39,19370208,23.0,4.0,9999.9,0.0,992.0,4.0,9999.9,0.0,2.9,4.0,16.5,4.0,29.9,999.9,34.0,14.0,99.99,999.9,_,*,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
40,19370209,15.5,4.0,9999.9,0.0,997.7,4.0,9999.9,0.0,3.9,4.0,14.3,4.0,18.1,999.9,18.0,10.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
41,19370210,20.0,4.0,9999.9,0.0,1010.6,4.0,9999.9,0.0,8.4,4.0,12.5,4.0,18.1,999.9,37.0,9.0,0.0,999.9,*,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
42,19370211,10.8,4.0,9999.9,0.0,1019.7,4.0,9999.9,0.0,2.4,4.0,2.7,4.0,5.1,999.9,19.0,1.0,0.0,999.9,_,_,I,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
43,19370212,12.7,4.0,9999.9,0.0,1018.5,4.0,9999.9,0.0,2.2,4.0,12.3,4.0,18.1,999.9,18.0,9.0,99.99,999.9,_,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
44,19370213,17.2,4.0,9999.9,0.0,1015.3,4.0,9999.9,0.0,1.4,4.0,13.3,4.0,18.1,999.9,19.0,12.0,99.99,999.9,*,_,_,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
